timestamp_ms,br0-rx,br0-tx,docker0-rx,docker0-tx,eth0-rx,eth0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,tun0-rx,tun0-tx,veth3b59cd2e-rx,veth3b59cd2e-tx,vxlan_sys_4789-rx,vxlan_sys_4789-tx
1505944945000,0.00,0.00,,,917.37,1712.91,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505945045000,0.00,0.00,,,2135.21,5238.84,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505945145000,0.00,0.00,,,2094.57,5305.72,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505945245000,0.00,0.00,,,1930.43,5312.39,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505945345000,0.00,0.00,,,2166.48,5500.92,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505945445000,0.00,0.00,,,1207.16,1871.75,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505945545000,0.00,0.00,,,1518.33,2131.88,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505945645000,0.00,0.00,,,1104.28,1820.02,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505945745000,0.00,0.00,,,1136.72,1807.85,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505945845000,0.00,0.00,,,925.23,1813.17,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505945945000,0.00,0.00,,,857.74,1698.71,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505946045000,0.00,0.00,,,965.31,1835.25,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505946145000,0.00,0.00,,,906.94,1938.75,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505946245000,0.00,0.00,,,1087.01,2045.08,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505946345000,0.00,0.00,,,614.81,606.82,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505946445000,0.00,0.00,,,1901.34,4980.43,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505946545000,0.00,0.00,,,2309.73,6631.83,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505946645000,0.00,0.00,,,2835.08,7069.62,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505946745000,0.00,0.00,,,2595.51,7023.64,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505946845000,0.00,0.00,,,1779.53,3972.54,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505946945000,0.00,0.00,,,1460.98,2070.80,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505947045000,0.00,0.00,,,1862.95,2427.62,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505947145000,0.00,0.00,,,1698.19,2276.14,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505947245000,0.00,0.00,,,1229.93,2061.85,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505947345000,0.00,0.00,,,1292.22,2094.85,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505947445000,0.00,0.00,,,981.10,1900.21,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505947545000,0.00,0.00,,,1029.75,2058.39,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505947645000,0.00,0.00,,,1019.15,1884.72,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505947745000,0.00,0.00,,,1001.31,1978.79,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505947845000,0.00,0.00,,,1023.51,1914.73,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505947945000,0.00,0.00,,,905.03,1825.62,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505948045000,0.00,0.00,,,1289.09,1797.34,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505948145000,0.00,0.00,,,1236.90,1532.49,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505948245000,0.00,0.00,,,659.94,659.45,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505948345000,0.00,0.00,,,658.17,658.15,,,0.00,0.00,0.00,0.00,,,0.00,0.00
