timestamp_ms,br0-rx,br0-tx,docker0-rx,docker0-tx,eth0-rx,eth0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,tun0-rx,tun0-tx,veth092de6b9-rx,veth092de6b9-tx,veth43b78dce-rx,veth43b78dce-tx,veth64f07b94-rx,veth64f07b94-tx,veth6a830c14-rx,veth6a830c14-tx,veth73c4f905-rx,veth73c4f905-tx,veth7f5fd52d-rx,veth7f5fd52d-tx,veth892267c2-rx,veth892267c2-tx,veth8d736aac-rx,veth8d736aac-tx,veth965475e0-rx,veth965475e0-tx,veth96b32e3a-rx,veth96b32e3a-tx,veth9ddc72c5-rx,veth9ddc72c5-tx,vetha17c7f82-rx,vetha17c7f82-tx,vetha5bfe6c4-rx,vetha5bfe6c4-tx,vethaa24ed2f-rx,vethaa24ed2f-tx,vethb2999e40-rx,vethb2999e40-tx,vethb7585af9-rx,vethb7585af9-tx,vethc3206044-rx,vethc3206044-tx,vethf5a8f735-rx,vethf5a8f735-tx,vxlan_sys_4789-rx,vxlan_sys_4789-tx
1505943245000,0.00,0.00,,,,,,,,,0.00,0.00,,,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.08,,,,,,,0.00,0.00
1505943345000,0.00,0.00,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00
1505943445000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,0.08,0.08,,,,,,,,,,,,,0.06,0.05,,,,,,,,,,,,,0.00,0.00
1505943545000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.02,0.03,,,,,,,,,,,,,0.00,0.00
1505943645000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00
1505943745000,,,,,,,,,,,0.00,0.08,,,,,,,,,0.08,0.08,,,,,,,,,,,0.08,0.08,0.08,0.08,,,,,,,,,,,,,0.00,0.00
1505943845000,,,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00
1505943945000,,,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00
1505944045000,,,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.08,0.08,0.00,0.00
1505944145000,,,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00
1505944245000,,,,,,,,,,,0.00,0.00,,,,,,,,,0.08,0.08,,,,,,,,,0.08,0.08,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505944345000,,,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505944445000,,,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505944545000,,,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505944645000,,,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505944745000,,,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505944845000,,,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505944945000,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,0.08,0.08,0.08,0.08,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505945045000,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505945145000,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.08,0.08,0.08,0.08,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505945245000,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505945345000,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505945445000,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505945545000,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505945645000,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505945745000,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505945845000,,,,,,,,,,,0.00,0.08,,,,,0.08,0.08,,,,,,,0.08,0.08,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505945945000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505946045000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505946145000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505946245000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505946345000,,,,,,,,,,,0.00,0.00,,,,,,,0.08,0.08,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505946445000,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505946545000,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505946645000,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505946745000,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505946845000,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505946945000,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505947045000,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505947145000,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505947245000,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00
1505947345000,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,,,0.08,0.08,,,0.00,0.00
1505947445000,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0.00,0.00
1505947545000,,,,,,,,,,,0.00,0.08,,,,,,,,,,,,,0.08,0.08,,,,,,,0.08,0.08,,,0.08,0.08,,,,,,,,,,,0.00,0.00
1505947645000,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,0.00,0.00
1505947745000,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,0.00,0.00
1505947845000,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,0.00,0.00
1505947945000,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,0.00,0.00
1505948045000,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,0.00,0.00
1505948145000,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,0.00,0.00
1505948245000,,,,,,,,,,,0.00,0.08,,,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,0.00,0.00,0.08,0.08,,,,,,,,,,
1505948345000,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,,,,,,,,,
