timestamp_ms,br0-rx,br0-tx,docker0-rx,docker0-tx,eth0-rx,eth0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,tun0-rx,tun0-tx,veth03de09be-rx,veth03de09be-tx,vxlan_sys_4789-rx,vxlan_sys_4789-tx
1505943545000,0.00,0.00,,,348.42,328.83,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505943645000,0.00,0.00,,,197.39,180.77,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505943745000,0.00,0.00,,,220.16,222.56,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505943845000,0.00,0.00,,,148.41,142.26,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505943945000,0.00,0.00,,,1106.78,1074.88,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505944045000,0.00,0.00,,,451.05,426.31,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505944145000,0.00,0.00,,,721.57,703.83,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505944245000,0.00,0.00,,,635.15,622.98,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505944345000,0.00,0.00,,,483.22,468.50,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505944445000,0.00,0.00,,,740.26,723.82,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505944545000,0.00,0.00,,,521.17,509.04,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505944645000,0.00,0.00,,,125.92,118.84,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505944745000,0.00,0.00,,,115.67,110.53,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505944845000,0.00,0.00,,,110.06,107.10,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505944945000,0.00,0.00,,,526.48,523.04,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505945045000,0.00,0.00,,,1075.42,1053.09,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505945145000,0.00,0.00,,,966.52,944.35,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505945245000,0.00,0.00,,,782.20,767.64,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505945345000,0.00,0.00,,,1000.70,1001.68,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505945445000,0.00,0.00,,,761.33,750.10,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505945545000,0.00,0.00,,,1088.70,1098.01,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505945645000,0.00,0.00,,,633.01,629.19,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505945745000,0.00,0.00,,,626.11,614.02,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505945845000,0.00,0.00,,,181.16,181.77,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505945945000,0.00,0.00,,,182.08,182.91,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505946045000,0.00,0.00,,,244.04,249.89,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505946145000,0.00,0.00,,,142.45,132.30,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505946245000,0.00,0.00,,,422.07,411.02,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505946345000,0.00,0.00,,,509.55,514.68,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505946445000,0.00,0.00,,,877.77,889.99,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505946545000,0.00,0.00,,,848.18,828.03,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505946645000,0.00,0.00,,,1385.92,1366.07,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505946745000,0.00,0.00,,,1190.61,1171.30,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505946845000,0.00,0.00,,,849.20,841.97,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505946945000,0.00,0.00,,,975.37,977.65,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505947045000,0.00,0.00,,,1409.38,1407.53,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505947145000,0.00,0.00,,,1216.81,1202.93,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505947245000,0.00,0.00,,,719.34,721.97,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505947345000,0.00,0.00,,,640.92,620.11,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505947445000,0.00,0.00,,,211.86,214.38,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505947545000,0.00,0.00,,,205.53,213.66,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505947645000,0.00,0.00,,,226.27,220.06,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505947745000,0.00,0.00,,,191.62,192.16,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505947845000,0.00,0.00,,,188.89,191.79,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505947945000,0.00,0.00,,,242.78,272.47,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505948045000,0.00,0.00,,,675.94,660.41,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505948145000,0.00,0.00,,,967.89,964.27,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505948245000,0.00,0.00,,,510.41,509.93,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505948345000,0.00,0.00,,,508.42,508.34,,,0.00,0.00,0.00,0.00,,,0.00,0.00
