timestamp_ms,br0-rx,br0-tx,docker0-rx,docker0-tx,eth0-rx,eth0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,tun0-rx,tun0-tx,veth42a9288a-rx,veth42a9288a-tx,veth451b7e76-rx,veth451b7e76-tx,veth48dc0386-rx,veth48dc0386-tx,veth9859de9c-rx,veth9859de9c-tx,vethb7208300-rx,vethb7208300-tx,vethbdaf899a-rx,vethbdaf899a-tx,vethc1ceb0cb-rx,vethc1ceb0cb-tx,vethcda078c3-rx,vethcda078c3-tx,vethd110ac35-rx,vethd110ac35-tx,vethe0dfe8c3-rx,vethe0dfe8c3-tx,vethf824a9f7-rx,vethf824a9f7-tx,vethfa4b3228-rx,vethfa4b3228-tx,vethfb3378d1-rx,vethfb3378d1-tx,vethfd254fa7-rx,vethfd254fa7-tx,vxlan_sys_4789-rx,vxlan_sys_4789-tx
1505946345000,,,,,,,,,,,,,,,,,0.08,0.08,0.08,0.08,,,,,,,,,,,0.08,0.08,,,0.00,0.00,,,0.08,0.08,,
1505946445000,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,
1505946545000,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,
1505946645000,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,
1505946745000,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,
1505946845000,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,
1505946945000,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,
1505947045000,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,
1505947145000,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,
1505947245000,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,
1505947345000,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,
1505947445000,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,
1505947545000,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,
1505947645000,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,
1505947745000,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,
1505947845000,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,
1505947945000,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,
1505948045000,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,
1505948145000,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,
1505948245000,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,
1505948345000,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,
