timestamp_ms,br0-rx,docker0-rx,eth0-rx,lo-rx,ovs-system-rx,tun0-rx,veth42a9288a-rx,veth451b7e76-rx,veth48dc0386-rx,veth9859de9c-rx,vethb7208300-rx,vethbdaf899a-rx,vethc1ceb0cb-rx,vethcda078c3-rx,vethd110ac35-rx,vethe0dfe8c3-rx,vethf824a9f7-rx,vethfa4b3228-rx,vethfb3378d1-rx,vethfd254fa7-rx,vxlan_sys_4789-rx
1505946445000,,,,,,,,,0.00,0.00,,,,,,0.00,,0.00,,0.00,
1505946545000,,,,,,,,,0.00,0.00,,,,,,0.00,,0.00,,0.00,
1505946645000,,,,,,,,,0.00,0.00,,,,,,0.00,,0.00,,0.00,
1505946745000,,,,,,,,,0.00,0.00,,,,,,0.00,,0.00,,0.00,
1505946845000,,,,,,,,,0.00,0.00,,,,,,0.00,,0.00,,0.00,
1505946945000,,,,,,,,,0.00,0.00,,,,,,0.00,,0.00,,0.00,
1505947045000,,,,,,,,,0.00,0.00,,,,,,0.00,,0.00,,0.00,
1505947145000,,,,,,,,,0.00,0.00,,,,,,0.00,,0.00,,0.00,
1505947245000,,,,,,,,,0.00,0.00,,,,,,0.00,,0.00,,0.00,
1505947345000,,,,,,,,,0.00,0.00,,,,,,0.00,,0.00,,0.00,
1505947445000,,,,,,,,,0.00,0.00,,,,,,0.00,,0.00,,0.00,
1505947545000,,,,,,,,,0.00,0.00,,,,,,0.00,,0.00,,0.00,
1505947645000,,,,,,,,,0.00,0.00,,,,,,0.00,,0.00,,0.00,
1505947745000,,,,,,,,,0.00,0.00,,,,,,0.00,,0.00,,0.00,
1505947845000,,,,,,,,,0.00,0.00,,,,,,0.00,,0.00,,0.00,
1505947945000,,,,,,,,,0.00,0.00,,,,,,0.00,,0.00,,0.00,
1505948045000,,,,,,,,,0.00,0.00,,,,,,0.00,,0.00,,0.00,
1505948145000,,,,,,,,,0.00,0.00,,,,,,0.00,,0.00,,0.00,
1505948245000,,,,,,,,,0.00,0.00,,,,,,0.00,,0.00,,0.00,
1505948345000,,,,,,,,,0.00,0.00,,,,,,0.00,,0.00,,0.00,
