timestamp_ms,br0-rx,br0-tx,docker0-rx,docker0-tx,eth0-rx,eth0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,tun0-rx,tun0-tx,veth1065b8a5-rx,veth1065b8a5-tx,veth246f1e5e-rx,veth246f1e5e-tx,veth40b7ae93-rx,veth40b7ae93-tx,veth4fe4904e-rx,veth4fe4904e-tx,veth5eb2005f-rx,veth5eb2005f-tx,veth81a3112a-rx,veth81a3112a-tx,vetha3138b99-rx,vetha3138b99-tx,vetha425c24b-rx,vetha425c24b-tx,vethadc3146e-rx,vethadc3146e-tx,vethea0c5cfb-rx,vethea0c5cfb-tx,vethf1aa9f01-rx,vethf1aa9f01-tx,vethf7e4d090-rx,vethf7e4d090-tx,vxlan_sys_4789-rx,vxlan_sys_4789-tx
1505942545000,0.00,0.00,,,3923.68,830.51,,,0.00,0.00,0.80,1.12,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.37
1505942645000,0.00,0.00,,,3.30,3.25,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942745000,0.00,0.00,,,3.39,3.32,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942845000,0.00,0.00,,,10.33,8.57,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942945000,0.00,0.00,,,,,,,,,0.00,0.00,0.08,0.08,,,,,,,,,,,,,,,0.08,0.08,,,,,,,0.00,0.00
1505943045000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.08,0.08,,,0.08,0.08,,,,,0.00,0.00
1505943145000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,,0.00,0.00
1505943245000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,,0.00,0.00
1505943345000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,,0.00,0.00
1505943445000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,,0.00,0.00
1505943545000,,,,,,,,,,,28.69,26.05,,,,,,,,,,,,,0.08,0.08,0.08,0.08,,,0.08,0.08,,,,,0.99,0.68
1505943645000,,,,,,,,,,,28.69,26.05,,,,,0.08,0.08,,,,,,,0.00,0.00,,,,,0.08,0.08,,,,,0.99,0.68
1505943745000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00
1505943845000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.08,0.08,,,,,0.00,0.00,,,,,,,,,,,0.00,0.00
1505943945000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,,,,,,,,,,0.00,0.00
1505944045000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,,,,,,,,,,0.00,0.00
1505944145000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,,,,,,,,,,0.00,0.00
1505944245000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,,,,,,,,,,0.00,0.00
1505944345000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,,,,,,,,,,0.00,0.00
1505944445000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,,,,,,,,,,0.00,0.00
1505944545000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,,,,,,,,,,0.00,0.00
1505944645000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,,,,,,,,,,0.00,0.00
1505944745000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,,,,,,,,,,0.00,0.00
1505944845000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,,,,,,,,,,0.00,0.00
1505944945000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,,,,,,,,,,0.00,0.00
1505945045000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,,,,,,,,,,0.00,0.00
1505945145000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,0.08,0.08,,,0.00,0.00,,,,,,,,,,,0.00,0.00
1505945245000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,0.00,0.00
1505945345000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,0.00,0.00
1505945445000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,0.00,0.00
1505945545000,,,,,,,,,,,28.69,26.05,,,,,0.08,0.08,,,,,,,0.00,0.00,,,,,,,,,0.08,0.08,0.99,0.68
1505945645000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,0.00,0.00
1505945745000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,0.00,0.00
1505945845000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,0.00,0.00
1505945945000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,0.00,0.00
1505946045000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,0.00,0.00
1505946145000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,0.00,0.00
1505946245000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,0.00,0.00
1505946345000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,0.00,0.00
1505946445000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,0.00,0.00
1505946545000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,0.00,0.00
1505946645000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,0.00,0.00
1505946745000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,0.00,0.00
1505946845000,,,,,,,,,,,28.69,26.05,,,,,0.00,0.00,,,,,0.08,0.08,0.00,0.00,,,,,,,,,0.00,0.00,,
1505946945000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,,,,,,,0.00,0.00,,
1505947045000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,,,,,,,0.00,0.00,,
1505947145000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,,,,,,,0.00,0.00,,
1505947245000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,,,,,,,0.00,0.00,,
1505947345000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,,,,,,,0.00,0.00,,
1505947445000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,,,,,,,0.00,0.00,,
1505947545000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,,,,,,,0.00,0.00,,
1505947645000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,,,,,,,0.00,0.00,,
1505947745000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,,,,,,,0.00,0.00,,
1505947845000,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,,,,,,,0.00,0.00,,
1505947945000,,,,,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,,,,,0.08,0.08,0.00,0.00,,
1505948045000,,,,,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,,
1505948145000,,,,,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,,
1505948245000,,,,,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,,
1505948345000,,,,,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,,
