timestamp_ms,br0-rx,br0-tx,docker0-rx,docker0-tx,eth0-rx,eth0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,tun0-rx,tun0-tx,veth01f3fbf8-rx,veth01f3fbf8-tx,veth108de0c9-rx,veth108de0c9-tx,veth454e3b7c-rx,veth454e3b7c-tx,veth5bda4b41-rx,veth5bda4b41-tx,veth6c9f3a04-rx,veth6c9f3a04-tx,veth7b66b7c4-rx,veth7b66b7c4-tx,veth8c177705-rx,veth8c177705-tx,veth94693f5a-rx,veth94693f5a-tx,veth98a5c999-rx,veth98a5c999-tx,vethb21e9c8e-rx,vethb21e9c8e-tx,vethb825cdfe-rx,vethb825cdfe-tx,vethe0aa4d04-rx,vethe0aa4d04-tx,vethe73e293e-rx,vethe73e293e-tx,vxlan_sys_4789-rx,vxlan_sys_4789-tx
1505944245000,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1505944345000,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1505944445000,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1505944545000,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1505944645000,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1505944745000,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1505944845000,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1505944945000,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1505945045000,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1505945145000,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1505945245000,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1505945345000,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1505945445000,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1505945545000,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1505945645000,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,
1505945745000,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,
1505945845000,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,
1505945945000,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,
1505946045000,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,
1505946145000,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,
1505946245000,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,
1505946345000,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,
1505946445000,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,
1505946545000,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,
1505946645000,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,
1505946745000,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,
1505946845000,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,
1505946945000,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,
1505947045000,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,
1505947145000,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,
1505947245000,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,
1505947345000,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,
1505947445000,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,
1505947545000,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,
1505947645000,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,
1505947745000,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,
1505947845000,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,
1505947945000,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,
1505948045000,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,
1505948145000,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,
1505948245000,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,
1505948345000,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,
